failure_type,wafers,mean_wafer_yield,pooled_die_yield
unlabeled,638507,0.9086847269229043,0.9374776382305281
none,147431,0.8943745679768956,0.9103350549198314
Edge-Ring,9680,0.84869341870142,0.8834641474981041
Edge-Loc,5189,0.8171509436827571,0.8402351713423885
Center,4294,0.7675034626567371,0.8163759403172527
Loc,3593,0.8500457057642515,0.8906815101087301
Scratch,1193,0.8994169257922648,0.935629906568553
Random,866,0.5193826627007256,0.538644591889652
Donut,555,0.723162588488294,0.7119774287683793
Near-full,149,0.12309177955813377,0.12376120329746644
