failure_type,wafers,defined_moran,median_moran,q25_moran,q75_moran,positive_fraction
unlabeled,638507,579855,0.0413479915644388,0.01148671095707805,0.07500690152153786,0.8099990514870097
none,147431,147430,0.0328113427428033,0.010475320050528024,0.057214360363738004,0.8448416197517465
Edge-Ring,9680,9680,0.29018097533913834,0.23291935504727335,0.37021743993994827,1.0
Edge-Loc,5189,5189,0.1803816088756588,0.1289477293343236,0.270940067518139,0.9992291385623434
Center,4294,4294,0.13655000237535542,0.09363110432404885,0.21036799199346126,0.9981369352585002
Loc,3593,3593,0.171307718247643,0.1099936337638398,0.2972476901408029,0.9977734483718341
Scratch,1193,1193,0.116575746951357,0.0806644481403369,0.1612596779447559,0.9790444258172674
Random,866,866,0.0758346818630084,0.036858861543620974,0.137732167460738,0.9318706697459584
Donut,555,555,0.38825004803668,0.2515831123639361,0.5014237876539145,1.0
Near-full,149,135,0.1666347352368028,0.04916802903574985,0.3381876517227961,0.9185185185185185
