source_row,lot_id,wafer_index,failure_type,yield,moran_i,permutations,p_right,p_two_sided,null_z_score
7316,lot490,13,Donut,0.7424381301558204,0.3602179096964326,999,0.001,0.001,16.7746096421248
7338,lot534,10,Donut,0.674074074074074,0.5465791850949722,999,0.001,0.001,30.394307840395573
7382,lot1288,4,Random,0.2294665537679932,0.1747491513157179,999,0.001,0.001,8.720735215619978
21272,lot2513,23,Edge-Ring,0.813953488372093,0.2767289603743246,999,0.001,0.001,13.10701414288292
100316,lot6949,23,none,0.9947850821744628,0.1346997750900593,999,0.001,0.001,14.722089336823627
127606,lot8392,12,unlabeled,0.0016643550624133,0.3391433186572786,999,0.001,0.001,32.8053132897281
143928,lot9290,14,Center,0.9909765390014036,0.2075978944558687,999,0.001,0.001,21.07365288996766
187907,lot11969,24,Edge-Ring,0.8596837944664032,0.3931969764847217,999,0.001,0.001,29.7012061771745
189348,lot12049,22,Random,0.4521575984990619,-0.0475239925918034,999,0.927,0.141,-1.4750009838533404
195696,lot12438,23,Center,0.8478260869565217,0.185342802761556,999,0.001,0.001,7.1596317382871835
199832,lot12754,22,Edge-Ring,0.8814229249011858,0.3949920096359305,999,0.001,0.001,31.633823924818106
225503,lot14186,21,unlabeled,0.9998419721871048,-0.0001625877669672,999,1.0,1.0,-0.1819989001089923
228641,lot14343,3,unlabeled,0.9758565595597372,0.0275138011499531,999,0.005,0.005,2.960013502443822
243250,lot15128,15,Random,0.5811965811965812,0.0331955001945163,999,0.032,0.068,1.820750925059209
243255,lot15128,20,Random,0.5231990231990232,0.0898902615648294,999,0.001,0.001,5.322370790766717
244160,lot15285,22,Edge-Ring,0.9830932999373826,0.4744656655309316,999,0.001,0.001,96.20941767277304
244372,lot15316,21,unlabeled,8.939746111210442e-05,-9.077474229315604e-05,999,1.0,1.0,-0.18053099525421307
255184,lot15807,3,Center,0.2728581713462923,0.5761906827765403,999,0.001,0.001,29.850989994834375
256859,lot15902,21,Loc,0.3023758099352052,0.5134955983181083,999,0.001,0.001,26.052987711018574
278715,lot17114,25,Donut,0.3215892053973013,0.5588691508796971,999,0.001,0.001,29.126182938891887
279495,lot17154,15,Donut,0.8013493253373314,0.3839145048508454,999,0.001,0.001,19.750901788221736
282621,lot17294,1,Scratch,0.9929328621908128,0.0311865499539331,999,0.001,0.001,5.164767226971944
295952,lot18082,21,Edge-Loc,0.9891085114965712,0.2795750944673832,999,0.001,0.001,19.518907155462095
315328,lot19205,5,Scratch,0.9455252918287936,0.2332355823014013,999,0.001,0.001,16.581794324233417
336109,lot20257,20,Loc,0.9948495527243156,0.4139972414640175,999,0.001,0.001,60.27522397436474
401301,lot24071,3,unlabeled,0.935101847465656,0.045148529548398,999,0.003,0.003,2.9094201409475033
414449,lot24641,18,Donut,0.9464027040077256,0.3197155228787353,999,0.001,0.001,20.99977620864269
456355,lot28109,19,Edge-Ring,0.5489949748743719,0.3121202030781274,999,0.001,0.001,12.516108251814849
574044,lot35922,23,Center,0.7048543689320388,0.1600785889321882,999,0.001,0.001,5.069964252298848
591673,lot36943,15,Center,0.7495145631067961,0.021168977540367,999,0.22,0.453,0.7555159522491904
626274,lot39343,24,unlabeled,0.8525280898876404,0.0450410804998914,999,0.034,0.064,1.828497589533537
634706,lot39960,21,Scratch,0.6070422535211267,0.2509539200159901,999,0.001,0.001,9.868626104165717
644549,lot40524,21,Edge-Loc,0.8442776735459663,0.0838900713800689,999,0.004,0.004,2.6924357990574874
645568,lot40565,25,Near-full,0.2776735459662289,0.0686527501241661,999,0.016,0.028,2.234737694323557
648310,lot40679,22,none,0.5294117647058824,0.1333333345337046,999,0.356,0.703,0.4918501395320528
684693,lot42400,16,none,0.9348914858096828,0.118167085414328,999,0.001,0.001,5.710039813863836
697302,lot42915,7,Edge-Loc,0.253875968992248,0.39181138937269,999,0.001,0.001,12.042652948337617
707868,lot43340,17,none,0.8604651162790697,0.0831035078852758,999,0.006,0.006,2.745316032094576
712997,lot43547,19,Edge-Loc,0.7732558139534884,0.1360623083093241,999,0.001,0.001,4.284788240888703
729986,lot44233,23,Scratch,0.8663967611336032,0.0895494101348792,999,0.002,0.003,3.418400019832129
731778,lot44307,18,Near-full,0.0013495276653171,-0.0014693549728169,999,1.0,1.0,-0.3149806826410781
754940,lot45243,20,Near-full,0.0694980694980695,0.2160026112523879,999,0.001,0.001,6.662590693164799
755906,lot45282,11,Loc,0.7992277992277992,0.1910779906209505,999,0.001,0.001,6.089848776079178
758290,lot45379,5,Loc,0.8575293056807936,0.2646872157492573,999,0.001,0.001,12.409494692234203
763085,lot45573,9,Near-full,0.205590622182146,0.3532473164544056,999,0.001,0.001,16.354858404618223
763098,lot45573,22,Near-full,0.1289449954914337,0.3317897972486244,999,0.001,0.001,16.03671707464963
763687,lot45597,18,none,0.9017132551848512,0.0897153561413668,999,0.001,0.001,4.365165850628728
764397,lot45627,1,Random,0.8418141592920354,0.2167944082889642,999,0.001,0.001,8.872280740789884
793575,lot46815,9,Edge-Loc,0.8896797153024911,0.1508628485965389,999,0.001,0.001,5.053655641233806
799933,lot47072,18,Loc,0.9181494661921707,0.126091562655647,999,0.001,0.001,4.240249695688102
810142,lot47488,20,Scratch,0.9083333333333332,0.1842035983443671,999,0.001,0.001,6.209468851742585
