,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
edge_enrichment,0.46291078835357685,-0.01772584002596894,-0.13588346064851492,-0.020939585371636024,0.07397844389634706,-0.022079001972691244,-0.20854579670640955,0.002193010676991909,0.09174856934457565
center_enrichment,-0.1746433428138452,0.052364396830575685,0.5119541481654714,-0.23619079763639247,0.10558727467578681,-0.027505140226113382,-0.21471844109540036,-0.03685679945050595,-0.03799973879952308
ring_0_enrichment,-0.05756744025409729,0.05143579200362053,0.5019800789051237,-0.291884427633086,0.11830778844288523,-0.03544639650457423,-0.280564182808935,0.06710751277116088,-0.3976590883693738
ring_1_enrichment,-0.37424423788279615,0.02500426784303179,0.2362111612086246,0.05745201099969256,-0.016132344935051373,0.015538720314236124,0.14522029362025587,-0.2021631789759139,0.7146737215386813
ring_2_enrichment,-0.3798542784613285,-0.018689719822642607,-0.2239183806303335,0.14888648769854643,-0.13903446276730502,0.03582050620644369,0.30791852520317187,0.09099885096906694,-0.4961132948571685
ring_3_enrichment,0.46291078835363464,-0.017725840025971076,-0.13588346064853174,-0.02093958537163863,0.0739784438963564,-0.022079001972693812,-0.2085457967064358,0.0021930106769919772,0.09174856934458711
quadrant_asymmetry,0.2580783724180043,0.025992891963957016,0.29520926010420145,0.04050804671085298,-0.15761641532592585,0.04285770311543366,0.5374092800114995,0.49214800873184367,0.03541984697969613
component_count_per_1000_valid,0.28939261580525816,0.03934947398691143,0.17821906733011209,-0.4101745831995221,-0.1341471068271532,0.04972774582945072,0.33619216101557803,0.12750429880567618,0.09371295510784737
largest_component_fail_share,-0.07647402935762612,0.005242816494050156,0.11062191407592861,0.3472652017299883,-0.5522631486383646,-0.030089180469532645,-0.48820581019363374,0.5018818878615189,0.12472952411732566
moran_i,0.20669684686417308,0.014208962212176861,0.2650627169597808,0.5184637338489747,0.21600743122349111,0.012506231250605033,0.040405228588014104,-0.24787720407597563,-0.12036864286566247
fail_join_excess_per_edge,0.15952052742130787,0.022951795643323617,0.3473643616888277,0.5145219759668949,0.09668526645269014,0.0215403787537666,0.13943194302639697,-0.11264847983675917,-0.08674523890955588
missingindicator_center_enrichment,0.0031826425347461582,0.5985194848700635,-0.057263029593543055,0.01377366216524821,0.001005933012483319,-0.0007553993258522227,-0.004499801602773624,-0.003235974218092251,-0.0026890459531759923
missingindicator_ring_0_enrichment,0.0028733113615339685,0.523001228842006,-0.05113719664216989,0.011874967131644583,-0.0006660808451721752,-0.0009376036508761969,-0.00543199157051651,-0.0019291246005062462,0.0022283224407183616
missingindicator_ring_1_enrichment,0.0031826425347470226,0.5985194848704762,-0.05726302959358409,0.013773662165262211,0.0010059330124927042,-0.0007553993258552738,-0.004499801602783956,-0.003235974218088323,-0.002689045953178134
missingindicator_moran_i,-0.16988867159328114,-0.006879886563376004,-0.10865886223562488,0.08914739486218509,0.7351638650319381,0.014547110560457934,-0.04140676661883297,0.6002200610149587,0.13799793985601247
missingindicator_fail_join_excess_per_edge,0.0017333260575830775,0.0006748776596576337,0.00270218825644214,-0.01378830706520884,-0.0030898067340054285,0.9947052188278894,-0.09621377704811587,-0.01427533011832514,-0.0055133130461119915
