selection,source_row,lot_id,wafer_index,failure_type,yield,height,width
class median yield,756366,lot45300,22,none,0.90171326,39,37
class median yield,525359,lot32870,9,Center,0.74951456,25,27
class median yield,7316,lot490,13,Donut,0.74243813,37,37
class median yield,644549,lot40524,21,Edge-Loc,0.84427767,26,26
class median yield,187907,lot11969,24,Edge-Ring,0.85968379,63,62
class median yield,758290,lot45379,5,Loc,0.85752931,39,37
class median yield,243255,lot15128,20,Random,0.52319902,41,51
class median yield,810142,lot47488,20,Scratch,0.90833333,26,30
class median yield,698366,lot42957,24,Near-full,0.12209302,25,27
class median yield,350010,lot20890,17,unlabeled,0.94745352,53,59
class 5th-percentile yield,391198,lot23498,23,Center,0.62685185,35,40
class 5th-percentile yield,451308,lot27673,8,Donut,0.49438202,32,29
class 5th-percentile yield,602709,lot37927,13,Edge-Loc,0.5968275,49,39
class 5th-percentile yield,14081,lot2151,16,Edge-Ring,0.76186047,38,36
class 5th-percentile yield,87345,lot6232,22,Loc,0.69116081,39,31
class 5th-percentile yield,803799,lot47230,24,Random,0.34078212,33,35
class 5th-percentile yield,583863,lot36432,8,Scratch,0.78605201,33,33
class 5th-percentile yield,3980,lot161,6,Near-full,0.0,26,26
lot wafer sequence,127595,lot8392,1,unlabeled,0.97642164,75,61
lot wafer sequence,127597,lot8392,3,unlabeled,0.9852982,75,61
lot wafer sequence,127600,lot8392,6,unlabeled,0.98474341,75,61
lot wafer sequence,127602,lot8392,8,unlabeled,0.99084605,75,61
lot wafer sequence,127603,lot8392,9,unlabeled,0.98807212,75,61
lot wafer sequence,127605,lot8392,11,unlabeled,0.98696255,75,61
lot wafer sequence,127606,lot8392,12,unlabeled,0.00166436,75,61
lot wafer sequence,127608,lot8392,14,unlabeled,0.98779473,75,61
lot wafer sequence,127611,lot8392,17,unlabeled,0.98557559,75,61
lot wafer sequence,127613,lot8392,19,unlabeled,0.9852982,75,61
lot wafer sequence,127616,lot8392,22,unlabeled,0.98585298,75,61
lot wafer sequence,127619,lot8392,25,unlabeled,0.98585298,75,61
