heldout_class,method,known_train,known_validation,known_test,heldout_test,auroc,aupr,fpr_at_95_tpr,validation_threshold,test_known_false_alarm_rate,test_heldout_detection_rate
Center,mahalanobis,14889,3288,3011,626,0.8698435873575376,0.6015864231518846,0.5692460976419794,32.87649403556765,0.04981733643307871,0.49201277955271566
Center,one_minus_max_softmax,14889,3288,3011,626,0.7079117782189479,0.29448904179463853,0.6728661574227831,0.5856802151890464,0.06011291929591498,0.13738019169329074
Donut,mahalanobis,17468,3908,3550,87,0.9591193135826452,0.35273887360248907,0.12,31.045239112800648,0.04140845070422535,0.6551724137931034
Donut,one_minus_max_softmax,17468,3908,3550,87,0.48502185526954833,0.021300900644611813,0.8549295774647887,0.577391542533074,0.06309859154929577,0.011494252873563218
Edge-Loc,mahalanobis,14150,3304,2849,788,0.5619515619515619,0.2730987415653838,0.9543699543699544,32.01347456301164,0.04352404352404352,0.0850253807106599
Edge-Loc,one_minus_max_softmax,14150,3304,2849,788,0.7973988557744902,0.4490391929880594,0.5064935064935064,0.5122562106496021,0.06142506142506143,0.2233502538071066
Edge-Ring,mahalanobis,11071,2342,2391,1246,0.7403176572392594,0.483908274807365,0.642827268925136,31.870654463041955,0.037222919280635716,0.004815409309791332
Edge-Ring,one_minus_max_softmax,11071,2342,2391,1246,0.3049604824942115,0.24410664134268495,0.8749477206189878,0.6024805637354514,0.05227938101212882,0.01043338683788122
Loc,mahalanobis,15299,3516,3082,555,0.5918661685696079,0.19954762338251875,0.9581440622972096,30.509342979325126,0.04445165476963011,0.07387387387387387
Loc,one_minus_max_softmax,15299,3516,3082,555,0.754862584843117,0.29908500867319787,0.6528228423101882,0.4870035418764227,0.05191434133679429,0.16216216216216217
Near-full,mahalanobis,17740,3976,3620,17,0.9955963600909977,0.4960317509645474,0.018508287292817678,30.21065389744969,0.04419889502762431,1.0
Near-full,one_minus_max_softmax,17740,3976,3620,17,0.01052973675658108,0.0024833946719901986,1.0,0.5903499000537995,0.06049723756906077,0.0
Random,mahalanobis,17215,3896,3511,126,0.9458775820211308,0.3523517449222578,0.19196810025633723,30.920081619722705,0.03902022215892908,0.6111111111111112
Random,one_minus_max_softmax,17215,3896,3511,126,0.5327089916950356,0.03998360984271962,0.9598405012816861,0.5790903368661137,0.06038165764739391,0.06349206349206349
Scratch,mahalanobis,16999,3847,3445,192,0.5793435534591195,0.05931158595372199,0.797677793904209,31.599631030738877,0.041219158200290276,0.0
Scratch,one_minus_max_softmax,16999,3847,3445,192,0.8138047290759556,0.17611141769342506,0.4737300435413643,0.5079160380931759,0.06153846153846154,0.3072916666666667
